labels,EH_ID,dpi,weight,weight_dpi0,weightloss,fecweight_flot,Expe,Eimeria,fecweight_DNA,Conc_DNA,P260_280,P260_230,V_H2O,Moist,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,dilution
KOQ,LM0223,1,21.41,20.73,-3.2802701399,NA,Expe005_1b,E64,0.208,75.7,1.81,1.46,25.7,1,NA,NA,NA,NA,NA
KOT,LM0204,7,20.19,19.26,-4.8286604361,1.43,Expe005_1b,E64,0.081,118.6,1.91,2.41,68.6,1,48,55,53,58,2
KOX,LM0206,0,16.97,16.97,0,1.47,Expe005_1b,E64,0.081,156.4,1.9,2.19,106.4,0,0,0,0,0,1
KPT,LM0214,3,28.3,27.43,-3.1717098068,1.73,Expe005_1b,E64,0.227,78.8,1.83,0.3,28.8,1,0,0,0,0,1.5
KQY,LM0215,10,25.05,23.9,-4.8117154812,0.96,Expe005_1b,E64,0.17,98,1.89,1.81,48,1,0,0,0,0,1
KRW,LM0204,4,18.62,19.26,3.3229491173,1.75,Expe005_1b,E64,0.114,102,1.9,0.99,52,0,0,1,1,2,2
KTU,LM0207,6,15.62,17.27,9.5541401274,0.53,Expe005_1b,E64,0.068,97.1,1.93,1.48,47.1,1,95,109,145,124,1
KVZ,LM0224,0,19.21,19.21,0,1.64,Expe005_1b,E64,0.091,40,1.91,0.75,NA,0,0,0,0,0,1
LMY,LM0209,8,22.94,22.09,-3.8478949751,1.26,Expe005_1b,E64,0.206,44.6,1.83,1.74,NA,1,1,3,1,2,1
LOU,LM0208,9,23.24,22.82,-1.8404907975,1.2,Expe005_1b,E64,0.108,98.1,1.86,2.45,48.1,1,25,15,16,16,1
LOW,LM0206,3,17.4,16.97,-2.5338833235,0.69,Expe005_1b,E64,0.155,94.2,1.85,2.23,44.2,1,0,0,0,0,1
LOX,LM0208,3,24.15,22.82,-5.8282208589,1.31,Expe005_1b,E64,0.139,76.2,1.95,0.48,26.2,1,0,0,0,0,1
LPV,LM0217,8,18.32,17.74,-3.2694475761,1.03,Expe005_1b,E64,0.161,95.9,1.85,1.64,45.9,1,1,1,1,0,1
LPX,LM0210,8,16.9,15.65,-7.9872204473,1.06,Expe005_1b,E64,0.049,88.5,1.87,0.77,38.5,0,10,9,14,12,1
LTV,LM0221,9,18.4,19.73,6.7410035479,1.04,Expe005_1b,E64,0.088,86,1.88,1.09,36,1,3,1,2,1,1
MQY,LM0217,5,16.9,17.74,4.7350620068,0.39,Expe005_1b,E64,0.079,117.8,1.87,1.63,67.8,0,19,27,16,25,1
MRU,LM0220,8,19.69,19.72,0.1521298174,1.44,Expe005_1b,E64,0.149,71.1,1.9,1.75,21.1,0,2,2,3,2,2.5
MTU,LM0204,10,20.22,19.26,-4.984423676,1.38,Expe005_1b,E64,NA,NA,NA,NA,NA,NA,0,0,0,0,1
MTZ,LM0208,10,22.87,22.82,-0.2191060473,1.28,Expe005_1b,E64,0.199,87.6,1.88,1.15,37.6,1,0,0,1,0,1
MUW,LM0218,4,20.6,20.36,-1.1787819253,1.57,Expe005_1b,E64,0.13,67.7,1.86,0.63,17.7,0,0,0,0,1,2
MWX,LM0225,7,28.57,28.05,-1.8538324421,1.25,Expe005_1b,E64,0.063,131.3,1.88,2.35,81.3,0,19,20,22,29,1
MWZ,LM0206,8,16.23,16.97,4.3606364172,1.35,Expe005_1b,E64,0.132,95.3,1.86,1.47,45.3,0,1,0,2,1,1
MXY,LM0217,4,16.77,17.74,5.4678692221,0.93,Expe005_1b,E64,0.181,102.4,1.83,0.39,52.4,1,0,0,1,1,1
NOP,LM0212,5,19.1,21.58,11.4921223355,0.46,Expe005_1b,E64,0.055,101.3,1.85,2.22,51.3,0,8,4,11,5,1
NOQ,LM0209,7,22.57,22.09,-2.1729289271,1.29,Expe005_1b,E64,0.144,123.8,1.89,2.19,73.8,1,18,22,22,19,1
NOV,LM0224,8,20.78,19.21,-8.1728266528,1.52,Expe005_1b,E64,0.114,54.8,1.86,2.65,4.8,0,1,3,3,1,1
NST,LM0213,8,16.57,15.39,-7.6673164392,0.98,Expe005_1b,E64,0.125,107.8,1.8,1.39,57.8,0,5,2,5,3,1
NSU,LM0216,0,18.37,18.37,0,1.26,Expe005_1b,E64,0.137,61.4,1.85,2,11.4,1,0,0,0,0,1
NTY,LM0225,4,27.81,28.05,0.8556149733,2.15,Expe005_1b,E64,0.162,71.2,1.77,0.89,21.2,1,0,0,1,0,1
NVW,LM0216,9,17.65,18.37,3.9194338596,0.74,Expe005_1b,E64,0.11,152.9,1.88,2.4,102.9,0,0,1,1,1,1
NXZ,LM0214,8,26.88,27.43,2.0051039008,1.67,Expe005_1b,E64,0.139,91.5,1.86,1.84,41.5,0,8,1,7,5,2
OPS,LM0224,7,19.89,19.21,-3.5398230088,1.55,Expe005_1b,E64,0.091,102.3,1.89,2.35,52.3,0,11,11,18,13,1
OPW,LM0217,7,18.44,17.74,-3.9458850056,1.19,Expe005_1b,E64,0.097,112.4,1.88,0.41,62.4,0,32,27,32,29,1
OQX,LM0225,5,27,28.05,3.743315508,1.12,Expe005_1b,E64,0.234,120.5,1.87,2.08,70.5,1,3,11,4,11,1
ORX,LM0213,1,15.33,15.39,0.3898635478,NA,Expe005_1b,E64,0.08,66.7,1.83,2.11,16.7,0,NA,NA,NA,NA,NA
OTW,LM0221,1,19.58,19.73,0.760263558,NA,Expe005_1b,E64,0.168,68.6,1.82,1.49,18.6,0,NA,NA,NA,NA,NA
OTY,LM0217,1,17.54,17.74,1.1273957159,NA,Expe005_1b,E64,0.189,89.8,1.85,0.76,39.8,1,NA,NA,NA,NA,NA
OTZ,LM0214,6,24.34,27.43,11.2650382793,0.29,Expe005_1b,E64,0.084,206.9,1.84,0.85,156.9,0,50,40,30,39,1
OUW,LM0211,2,17.76,17.42,-1.9517795637,NA,Expe005_1b,E64,0.073,101.7,1.87,1.88,51.7,0,NA,NA,NA,NA,1
OVW,LM0217,9,18.82,17.74,-6.0879368658,1.52,Expe005_1b,E64,0.177,78,1.88,2.48,28,1,0,3,0,0,1
OXY,LM0219,4,19.49,19,-2.5789473684,1.57,Expe005_1b,E64,0.147,62.9,1.83,1.88,12.9,0,0,0,0,0,2
PQU,LM0221,4,19.9,19.73,-0.8616320324,1.3,Expe005_1b,E64,0.139,76.7,1.9,2.09,26.7,1,0,0,0,0,2
PQV,LM0222,1,23.86,23.99,0.5418924552,NA,Expe005_1b,E64,0.12,49.7,1.88,2.09,NA,0,NA,NA,NA,NA,NA
PRY,LM0214,4,26.54,27.43,3.2446226759,2.14,Expe005_1b,E64,0.14,125.4,1.96,1.18,75.4,1,0,0,0,0,2
PRZ,LM0215,2,24.17,23.9,-1.129707113,NA,Expe005_1b,E64,0.104,120.4,1.95,0.68,70.4,0,NA,NA,NA,NA,NA
PSV,LM0208,5,22.06,22.82,3.3304119194,0.96,Expe005_1b,E64,0.147,58.6,1.93,1.65,8.6,1,0,24,10,4,1
PVW,LM0211,5,15.65,17.42,10.1607347876,0.35,Expe005_1b,E64,0.036,101.9,1.89,2.01,51.9,0,12,10,12,12,1
QUX,LM0221,5,18.85,19.73,4.4602128738,0.48,Expe005_1b,E64,0.122,121.7,1.84,2.33,71.7,1,4,3,9,3,1
QVW,LM0223,9,22.06,20.73,-6.4158224795,0.78,Expe005_1b,E64,0.083,138.7,1.84,2.21,88.7,1,0,0,0,0,1
RXY,LM0223,0,20.73,20.73,0,2.44,Expe005_1b,E64,0.12,56.8,1.79,0.27,6.8,1,0,0,0,0,1
SVY,LM0216,1,17.12,18.37,6.8045726728,NA,Expe005_1b,E64,0.228,104.4,1.86,2.01,54.4,1,NA,NA,NA,NA,1
TUW,LM0213,10,15.75,15.39,-2.3391812865,0.56,Expe005_1b,E64,0.17,97.1,1.84,1.32,47.1,0,0,0,0,0,1
TUX,LM0219,8,20.71,19,-9,1.35,Expe005_1b,E64,0.147,76.2,1.87,1.91,26.2,0,3,1,2,2,1
UXY,LM0223,10,22.28,20.73,-7.4770863483,0.93,Expe005_1b,E64,0.164,115.8,1.91,2.07,65.8,1,2,0,1,0,1
WXZ,LM0225,9,28.97,28.05,-3.2798573975,1.18,Expe005_1b,E64,0.075,109.3,1.9,2.29,59.3,1,0,0,0,1,1
